sales_touchpoint_id,channel_name,contact_id,sales_touchpoint_date
SAT1P00002VQ2iNUATID,Outbound,CO31a00000nJbv7AACID,2019-02-06T16:01:29Z
SAT1P00002WJr7HUATID,Outbound,CO31a00000hKJcKAAWID,2019-02-07T21:11:53Z
SAT1P00002WKGvgUAHID,Outbound,CO31a00000uyMRIAA2ID,2019-02-08T15:58:47Z
SAT1P00002iebCOUAYID,Outbound,CO31a00000hKhbHAASID,2019-05-07T15:04:35Z
SAT1P00002igNZaUAMID,Outbound,CO31P000015M17hQACID,2019-05-09T10:25:07Z
SAT1P00002roBemUAEID,Outbound,CO31a00000loJ4KAAUID,2019-08-09T16:19:26Z
SAT1P00002rnqQbUAIID,Outbound,CO31P000014qLwcQAEID,2019-08-09T14:29:01Z
SAT1P00002rn5xKUAQID,Outbound,CO31P000017ZUtIQAWID,2019-08-08T17:24:36Z
SAT1P00002ro448UAAID,Outbound,CO31P000014DAUUQA4ID,2019-08-09T15:41:17Z
SAT1P000033zIluUAEID,Outbound,CO31P000016cO5SQAUID,2019-11-05T15:13:41Z
SAT1P000034asKnUAIID,Outbound,CO31P000019v2ejQAAID,2019-11-08T15:37:59Z
SAT1P000033z8WIUAYID,Outbound,CO31P000019y3xNQAQID,2019-11-05T13:33:00Z
SAT1P00003401sPUAQID,Outbound,CO31P000012n0DoQAIID,2019-11-05T22:17:43Z
SAT1P00003GAVYPUA5ID,Outbound,CO31a00000mijQGAAYID,2020-02-06T17:15:04Z
SAT1P00003GAOxTUAXID,Outbound,CO31a00000cZmjsAACID,2020-02-06T15:55:30Z
SAT1P00003GBWbNUAXID,Outbound,CO31P00001BlsyrQABID,2020-02-07T14:01:53Z
SAT1P00003GCI8JUAXID,Outbound,CO31a00000lkgQAAAYID,2020-02-07T21:03:46Z
SAT1P00003PCCuXUAXID,Outbound,CO31P00001EqmQRQAZID,2020-05-08T13:49:58Z
SAT1P00003PBmGKUA1ID,Outbound,CO31P00001BkeVNQAZID,2020-05-07T19:39:10Z
SAT1P00003PBbA4UALID,Outbound,CO31P000015vFqcQAEID,2020-05-07T16:18:09Z
SAT1P00003PBhVdUALID,Outbound,CO31a00000tbgULAAYID,2020-05-07T18:12:47Z
SAT1P00003PBQLdUAPID,Outbound,CO31a000011Om8HAASID,2020-05-07T09:49:09Z
SAT1P00003PBafpUADID,Outbound,CO31P00001DAOMZQA5ID,2020-05-07T16:07:28Z
SAT4p00001UaERjEANID,Outbound,CO31P00001CuYeAQAVID,2020-08-03T07:06:38Z
SAT4p00001Uc33xEABID,Outbound,CO31a00000miVyhAAEID,2020-08-06T17:32:48Z
SAT4p00001UcmK2EAJID,Outbound,CO31a00000deUEbAAMID,2020-08-07T19:09:31Z
SAT4p00001UciWuEAJID,Outbound,CO31P00001Ac5KUQAZID,2020-08-07T17:13:46Z
SAT4p00001UbivnEABID,Outbound,CO31P000017aJiVQAUID,2020-08-05T21:48:33Z
SAT4p00001UcloqEABID,Outbound,CO31P000012lCSkQAMID,2020-08-07T18:52:17Z
SAT4p00001UbgQvEAJID,Outbound,CO31a00000hlh5kAAAID,2020-08-05T19:46:26Z
SAT4p00001UbeveEABID,Outbound,CO31a00000uDz3TAASID,2020-08-05T19:00:29Z
SAT4p00001YQ72zEADID,Outbound,CO34p00001gvtY6AAIID,2020-11-05T19:31:43Z
SAT4p00001YP7NUEA1ID,Outbound,CO31P000013gxFcQAIID,2020-11-04T22:15:32Z
SAT4p00001YQ6YaEALID,Outbound,CO31a00000jM3AwAAKID,2020-11-05T19:14:57Z
SAT4p00001YONOXEA5ID,Outbound,CO34p00001f5VFLAA2ID,2020-11-03T21:09:56Z
SAT4p00001YOsnrEADID,Outbound,CO31P000014DCL1QAOID,2020-11-04T18:27:45Z
SAT4p00001YODkVEAXID,Outbound,CO31P000019y3xNQAQID,2020-11-03T18:31:25Z
SAT4p00001YNLUUEA5ID,Outbound,CO31P00001Cc4YhQAJID,2020-11-02T18:34:02Z
SAT4p00001cI6r7EACID,Outbound,CO34p00001jAjE1AAKID,2021-02-02T15:39:09Z
SAT4p00001cIJqPEAWID,Outbound,CO31P000018CRpEQAWID,2021-02-02T20:30:26Z
SAT4p00001cIscKEASID,Outbound,CO31P000014rDkAQAUID,2021-02-04T13:32:31Z
SAT4p00001cJS09EAGID,Outbound,CO31P000013gMReQAMID,2021-02-05T20:28:24Z
SAT4p00001g3uKxEAIID,Outbound,CO31P000013dnQ4QAIID,2021-05-05T13:16:16Z
SAT4p00001g3FQiEAMID,Outbound,CO31P00001DD50GQATID,2021-05-04T14:29:32Z
SAT4p00001g4GdmEAEID,Outbound,CO31P00001CuiQVQAZID,2021-05-06T09:04:05Z
SAT4p00001gQhEzEAKID,Outbound,CO34p00001kSfrAAASID,2021-05-07T20:47:45Z
SAT4p00001g2U2wEAEID,Outbound,CO34p00001kE5GAAA0ID,2021-05-03T14:53:14Z
SAT4p00001gPYTaEAOID,Outbound,CO34p00001kT0g4AACID,2021-05-06T17:33:04Z
SAT4p00001g2aqGEAQID,Outbound,CO34p00001kFHz4AAGID,2021-05-03T17:08:02Z
SAT4p00001gPdPgEAKID,Outbound,CO34p00001hBQT3AAOID,2021-05-06T19:39:49Z
SAT4p00001g47QjEAIID,Outbound,CO34p00001kT1KaAAKID,2021-05-05T19:10:53Z
SAT4p00001g43eBEAQID,Outbound,CO34p00001kT07kAACID,2021-05-05T16:52:56Z
SAT4p00001gQIaxEAGID,Outbound,CO34p00001kT2yaAACID,2021-05-07T13:50:55Z
SAT4p00001kKHnBEAWID,Outbound,CO31a000010aOYHAA2ID,2021-08-05T15:41:44Z
SAT4p00001kIXsgEAGID,Outbound,CO34p00001mdu3LAAQID,2021-08-02T19:46:18Z
SAT4p00001kIqs7EACID,Outbound,CO34p00001mwO8eAAEID,2021-08-03T16:25:54Z
SAT4p00001kJ5PTEA0ID,Outbound,CO34p00001i1TN1AAMID,2021-08-03T20:25:33Z
SAT4p00001kJjmvEACID,Outbound,CO34p00001nBgbAAASID,2021-08-04T16:48:03Z
SAT4p00001kJtZQEA0ID,Outbound,CO31a00000sSUDHAA4ID,2021-08-04T19:54:50Z
SAT4p00001kIg8BEASID,Outbound,CO34p00001kVkPOAA0ID,2021-08-03T07:42:38Z
SAT4p00001kJ157EACID,Outbound,CO34p00001kE6n3AACID,2021-08-03T19:45:51Z
SAT4p00001kInN1EAKID,Outbound,CO34p00001mvfY4AAIID,2021-08-03T14:56:50Z
SAT4p00001kJmVkEAKID,Outbound,CO31P000016avJbQAIID,2021-08-04T17:58:00Z
SAT4p00001kIgIGEA0ID,Outbound,CO34p00001kSyi2AACID,2021-08-03T08:36:55Z
SAT4p00001kJkNgEAKID,Outbound,CO31a00000hL37mAACID,2021-08-04T17:03:50Z
SAT1P00002SbDiHUAVID,Outbound,CO31a00000miU7rAAEID,2019-01-11T19:31:18Z
SAT1P00002RlzLMUAZID,Outbound,CO31a00000uDz3TAASID,2019-01-10T18:17:54Z
SAT1P00002SbDUeUANID,Outbound,CO31a00000nxpKjAAIID,2019-01-11T19:27:49Z
SAT1P00002Sb3AzUAJID,Outbound,CO31a00000zqsGLAAYID,2019-01-11T17:09:24Z
SAT1P00002SakybUABID,Outbound,CO31P000012lVVUQA2ID,2019-01-11T10:09:53Z
SAT1P00002fjqrAUAQID,Outbound,CO31P000015J6LSQA0ID,2019-04-10T14:15:14Z
SAT1P00002f5J6yUAEID,Outbound,CO31P000014cB7IQAUID,2019-04-08T19:58:20Z
SAT1P00002f4cr4UAAID,Outbound,CO31a00000hlQJHAA2ID,2019-04-08T13:19:23Z
SAT1P00002f6k9BUAQID,Outbound,CO31P000015KOiBQAWID,2019-04-09T16:52:51Z
SAT1P00002fkAb5UAEID,Outbound,CO31a00000hHbfvAACID,2019-04-10T16:30:42Z
SAT1P00002f4wa9UAAID,Outbound,CO31P000014qLwcQAEID,2019-04-08T16:27:46Z
SAT1P00002otgt4UAAID,Outbound,CO31a00000fwac6AAAID,2019-07-10T16:09:58Z
SAT1P00002pGZEHUA4ID,Outbound,CO31P0000178HPnQAMID,2019-07-12T19:00:34Z
SAT1P00002orhwRUAQID,Outbound,CO31a00000rjeP9AAIID,2019-07-08T20:27:55Z
SAT1P00002orGm7UAEID,Outbound,CO31P000015yFh1QAEID,2019-07-08T15:39:11Z
SAT1P000030lw3pUAAID,Outbound,CO31P000015LzMVQA0ID,2019-10-11T15:02:05Z
SAT1P000030Qvg5UACID,Outbound,CO31P000013eqHtQAIID,2019-10-08T16:38:06Z
SAT1P000030RZMUUA4ID,Outbound,CO31P000017auBdQAIID,2019-10-08T20:06:56Z
SAT1P000030TLVSUA4ID,Outbound,CO31P000015y5TxQAIID,2019-10-10T14:02:15Z
SAT1P000030SKH8UAOID,Outbound,CO31a00000p6Bq6AAEID,2019-10-09T15:55:39Z
SAT1P000030U7rCUASID,Outbound,CO31a00000hKpx2AACID,2019-10-10T18:15:44Z
SAT1P000030REsVUAWID,Outbound,CO31P000017Y7r0QACID,2019-10-08T18:08:50Z
SAT1P000030RdGlUAKID,Outbound,CO31P000014cgrFQAQID,2019-10-08T20:33:38Z
SAT1P000030lqmiUAAID,Outbound,CO31a00000hKpx2AACID,2019-10-11T14:08:32Z
SAT1P00002zfkIxUAIID,Outbound,CO31a00000ySRx5AAGID,2019-10-07T19:55:42Z
SAT1P000030TT02UAGID,Outbound,CO31a00000pevpyAAAID,2019-10-10T14:42:50Z
SAT1P00002zgJJZUA2ID,Outbound,CO31P000016OHLUQA4ID,2019-10-08T14:19:20Z
SAT1P000030RXnAUAWID,Outbound,CO31P000018AHLlQAOID,2019-10-08T19:52:43Z
SAT1P00002zfkX4UAIID,Outbound,CO31P000016bzPIQAYID,2019-10-07T19:57:53Z
SAT1P00002zfTfHUAUID,Outbound,CO31a00000hJvFzAAKID,2019-10-07T17:21:25Z
SAT1P00002zfrueUAAID,Outbound,CO31P000019URGxQAOID,2019-10-07T21:11:27Z
SAT1P000030lvdcUAAID,Outbound,CO31P000017Y7JtQAKID,2019-10-11T14:59:29Z
SAT1P00003D2NSlUANID,Outbound,CO31P00001BljFoQAJID,2020-01-09T20:24:25Z
SAT1P00003D2ZotUAFID,Outbound,CO31P000015yd99QAAID,2020-01-09T22:42:12Z
SAT1P00003D1EdqUAFID,Outbound,CO31P00001Ae1KAQAZID,2020-01-08T20:54:47Z
SAT1P00003D4CcnUAFID,Outbound,CO31P000014CBxrQAGID,2020-01-10T23:01:50Z
SAT1P00003Ce1aRUARID,Outbound,CO31P00001BkeVNQAZID,2020-01-07T15:54:31Z
SAT1P00003D2EeaUAFID,Outbound,CO31P000017auRFQAYID,2020-01-09T19:02:36Z
SAT1P00003D1zY6UAJID,Outbound,CO31P000015KiDdQAKID,2020-01-09T16:45:39Z
SAT1P00003CcrRNUAZID,Outbound,CO31a000011OVKwAAOID,2020-01-06T14:42:20Z
SAT1P00003Cg7JZUAZID,Outbound,CO31P000015MjcqQACID,2020-01-08T19:38:18Z
SAT1P00003MonAfUAJID,Outbound,CO31P000019TlKqQAKID,2020-04-07T21:30:56Z
SAT1P00003MnYMXUA3ID,Outbound,CO31a00000sT4sPAASID,2020-04-06T20:44:23Z
