marketing_touchpoint_id,channel_name,contact_id,marketing_touchpoint_date
MKv1P00000nHMTPQA4ID,Adwords,CO31P000019SishQACID,2019-09-29T23:29:56Z
MKv1P00000m0hz1QAAID,Adwords,CO31P000017XqTJQA0ID,2019-07-29T20:42:38Z
MKv4p00000cl40YAAQID,Adwords,CO34p00001f5QkPAAUID,2020-07-29T17:59:31Z
MKv1P00000k9ADwQAMID,Adwords,CO31P000015vioWQAQID,2019-05-10T14:29:49Z
MKv4p00000iiPDfAAMID,Adwords,CO34p00001md2PEAAYID,2021-06-17T14:22:30Z
MKv4p00000ihRwzAAEID,Adwords,CO34p00001m182yAAAID,2021-05-25T15:36:08Z
MKv4p00000f6T5PAAUID,Adwords,CO34p00001gyaytAAAID,2020-10-19T04:28:51Z
MKv4p00000ea7dFAAQID,Adwords,CO34p00001h9zOkAAIID,2020-09-17T15:01:44Z
MKv4p00000ig0DVAAYID,Adwords,CO34p00001kT9boAACID,2021-05-06T12:22:43Z
MKv4p00000ijA4kAAEID,Adwords,CO34p00001mtLKuAAMID,2021-07-07T21:02:39Z
MKv4p00000jQoXAAA0ID,Adwords,CO34p00001mx47qAAAID,2021-07-26T21:48:11Z
MKv4p00000d8xwcAAAID,Adwords,CO34p00001fnIDwAAMID,2020-06-07T13:17:04Z
MKv4p00000jQRVtAAOID,Adwords,CO34p00001mw9JuAAIID,2021-07-21T21:11:59Z
MKv4p00000jQuXKAA0ID,Adwords,CO34p00001nA5IAAA0ID,2021-07-28T18:01:15Z
MKv1P00000k63JjQAIID,Adwords,CO31P000015JKNOQA4ID,2019-04-04T13:16:32Z
MKv1P00000omscZQAQID,Adwords,CO31a00000hoLK1AAMID,2019-12-23T15:36:42Z
MKv4p00000ihiovAAAID,Adwords,CO34p00001m2b7XAAQID,2021-06-02T21:47:15Z
MKv4p00000igXFCAA2ID,Adwords,CO34p00001kUaMiAAKID,2021-05-14T14:00:11Z
MKv4p00000ijCbHAAUID,Adwords,CO34p00001mtV2oAAEID,2021-07-08T15:10:11Z
MKv4p00000ihfaVAAQID,Adwords,CO34p00001m2JRvAAMID,2021-06-01T13:13:46Z
MKv4p00000jQnl7AACID,Adwords,CO34p00001mx1xAAAQID,2021-07-26T16:29:28Z
MKv4p00000ihiU1AAIID,Adwords,CO34p00001m2a6dAAAID,2021-06-02T19:33:48Z
MKv1P00000k603RQAQID,Adwords,CO31P000015J6cxQACID,2019-04-03T13:10:58Z
MKv4p00000ea6SEAAYID,Adwords,CO31P00001AcJ5BQAVID,2020-09-17T13:02:32Z
MKv1P00000m2sNTQAYID,Event,CO31P000014q2mSQAQID,2019-09-13T21:26:06Z
MKv1P00000nHtJfQAKID,Event,CO31P000019unbFQAQID,2019-10-14T04:54:42Z
MKv4p00000eapo1AAAID,Adwords,CO34p00001hAyUiAAKID,2020-09-28T12:58:16Z
MKv4p00000ihWc9AAEID,Adwords,CO34p00001m1eCNAAYID,2021-05-27T16:47:15Z
MKv4p00000iiKHQAA2ID,Adwords,CO34p00001mceO7AAIID,2021-06-15T16:15:56Z
MKv1P00000sAvE4QAKID,Adwords,CO31P00001DUAaJQAXID,2020-04-21T19:51:41Z
MKv4p00000iiiCSAAYID,Adwords,CO34p00001mefqWAAQID,2021-06-25T14:56:29Z
MKv4p00000d8qFJAAYID,Adwords,CO34p00001fmvi8AAAID,2020-06-01T04:14:11Z
MKv4p00000ihbr6AAAID,Adwords,CO34p00001m1tqvAAAID,2021-05-28T18:15:53Z
MKv1P00000m2VYFQA2ID,Event,CO31a00000xkZI2AAMID,2019-09-04T23:39:35Z
MKv1P00000m2VoNQAUID,Event,CO31a00000xkYzXAAUID,2019-09-04T23:46:15Z
MKv1P00000nH7WrQAKID,Webinar,CO31P000019KXs7QAGID,2019-09-23T17:21:19Z
MKv1P00000m2cplQAAID,Event,CO31a00000s7F9uAAEID,2019-09-07T00:06:09Z
MKv1P00000nIeaTQASID,Event,CO31P000019wtybQAAID,2019-10-23T18:00:57Z
MKv1P00000nHvryQACID,Event,CO31P000019v9kqQAAID,2019-10-15T02:16:22Z
MKv1P00000nJXUXQA4ID,Website,CO31P000014Dc9aQACID,2019-11-05T19:20:57Z
MKv1P00000nJXOSQA4ID,Website,CO31a00000uFAzfAAGID,2019-11-05T18:50:39Z
MKv1P00000okzExQAIID,Website,CO31a00000pfVqmAAEID,2019-11-26T00:00:27Z
MKv1P00000nJbwqQACID,Website,CO31P000018CDwsQAGID,2019-11-07T13:35:29Z
MKv1P00000nKeSAQA0ID,Adwords,CO31P00001AdZa7QAFID,2019-11-21T17:14:07Z
MKv1P00000okzQXQAYID,Adwords,CO31P00001AeCIaQANID,2019-11-26T02:34:03Z
MKv1P00000omkrYQAQID,Webinar,CO31P00001AbYj9QAFID,2019-12-18T17:46:52Z
MKv1P00000okxGZQAYID,Event,CO31P00001Ae0pfQABID,2019-11-25T14:30:40Z
MKv4p00000ihKncAAEID,Website,CO31P000015Zn6cQACID,2021-05-24T15:01:52Z
MKv4p00000jRQSeAAOID,Website,CO34p00001mvuITAAYID,2021-08-12T03:28:34Z
MKv4p00000eavDxAAIID,Website,CO31P00001Ctm5EQARID,2020-09-29T16:35:27Z
MKv4p00000jRp6bAACID,Website,CO34p00001gPlZQAA0ID,2021-08-25T13:48:10Z
MKv4p00000jQOtkAAGID,Website,CO31P00001Cd1m4QABID,2021-07-20T18:48:11Z
MKv4p00000jPtx3AACID,Website,CO34p00001kRxJkAAKID,2021-07-16T16:59:15Z
MKv4p00000igSC2AAMID,Website,CO34p00001kTnljAACID,2021-05-12T15:27:28Z
MKv4p00000igROCAA2ID,Website,CO31a00000miogVAAQID,2021-05-12T13:49:20Z
MKv4p00000jReisAACID,Website,CO34p00001idHgUAAUID,2021-08-19T14:32:44Z
MKv4p00000hKy3aAACID,Website,CO31P00001B6MBEQA3ID,2021-02-23T22:46:00Z
MKv4p00000iiI3WAAUID,Adwords,CO34p00001m0vGNAAYID,2021-06-14T13:16:10Z
MKv1P00000qWdiaQACID,Webinar,CO31a00000lm8mZAAQID,2020-01-20T16:25:52Z
MKv4p00000ijCMCAA2ID,Adwords,CO31P00001CeJakQAFID,2021-07-08T12:12:32Z
